ID,LLM,LLM Duration,Request Duration,Websites Checked,Website Max Length,Website Reduced Length,Provider URL,Provider Name,Room Name,Description,Min Players,Max Players,Duration,Booking URL,Detail Page URL,Image URL,Genre,Difficulty,Token Limit Reached,Error
0,gemini-1.5-flash-001,37.313083875s,1m1.641431083s,7,984715,387533,https://final-escape.com/berlin/,Final Escape Berlin,Prison Break,"Das muss alles ein riesiges Missverständnis sein. In einer Nacht- und Nebel-Aktion wurdet ihr wach geklingelt, in Handschellen abgeführt und ohne Verhör in eine Zelle gesteckt.\n\nWas euch genau vorgeworfen wird, wisst ihr nicht. Ihr habt euch in den letzten Jahren nichts zu Schulden kommen lassen und ein eher unauffälliges Leben geführt. Nun seid ihr im Knast gelandet und eine Sache wird immer eindeutiger: So schnell werdet ihr hier nicht rauskommen. Ihr beginnt langsam die Hoffnung auf ein Leben in Freiheit zu verlieren, als ihr beim Mittagessen von Gerüchten hört, dass die Insassen, die vor euch in euren Zellen gewohnt haben, vor einigen Wochen ausgebrochen sind. Vielleicht ist doch nicht alles verloren – schließlich haben bereits andere Insassen vor euch den Weg in die Freiheit gefunden!",2,6,60,https://final-escape.com/berlin/live-escape-game-prison-break-2/#fe-buchen,https://final-escape.com/berlin/live-escape-game-prison-break-2/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2019/09/02PrisonBreak.jpg,Prison,mittel,false,
0,gemini-1.5-flash-001,37.313083875s,1m1.641433916s,7,984715,387533,https://final-escape.com/berlin/,Final Escape Berlin,Blutiges Erwachen,"Die verlassenen Lichtenstädter Kliniken am Rande der Stadt waren schon immer ein Gesprächsthema. Vor vielen Jahren wurden sie von zahlreichen Patienten aufgesucht, die auf die nicht immer konventionellen Methoden von Dr. George A . Raimi vertrauten. Viele von ihnen waren von anderen Ärzten längst als hoffnungslose Fälle behandelt worden und sahen in dem Arzt ihre letzte Chance auf Heilung. Doch Skandale erschütterten die Kliniken in Lichtenstadt und hatten vor einiger Zeit deren Schließung zur Folge.\n\nSeitdem ist es still um Dr. Raimi geworden. Es gibt Gerüchte, dass er die Schließung der Klinik nicht gut verkraftet hat, da er seine Forschungen abbrechen und seine experimentellen Behandlungsmethoden einstellen musste.\n\nJahrzehnte später macht sich eine kleine Gruppe von Urban Explorern auf den Weg zur Klinik, um die Geheimnisse dieses besonderen Ortes zu lüften. Das alte Gebäude wirkt verlassen, die Fenster sind verwittert, die Technik hoffnungslos veraltet. Doch plötzlich hört man ein Geräusch – waren es Schritte? Und warum lässt sich die Eingangstür nicht mehr öffnen? Euch beschleicht das Gefühl, dass ihr doch nicht ganz allein seid…",3,6,60,https://final-escape.com/berlin/live-escape-game-blutiges-erwachen/#fe-buchen,https://final-escape.com/berlin/live-escape-game-blutiges-erwachen/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2023/03/Blutiges-Erwachen-Final-Escape-Berlin-Header.jpg,Horror,schwer,false,
0,gemini-1.5-flash-001,37.313083875s,1m1.6414395s,7,984715,387533,https://final-escape.com/berlin/,Final Escape Berlin,The Puppeteer,"Im Steampunk-Universum genießt das Theater einen hohen Stellenwert. Das kulturelle Angebot ist vielseitig, doch mit besonderer Anerkennung rühmt sich die Puppenschauspielkunst. Als kultivierte Liebhaber des zeitgenössischen Puppentheaters stoßt ihr auf ein Preisausschreiben, das Freikarten für ein einzigartiges Showerlebnis verspricht und mit großen Worten lockt. Selbstredend nehmt ihr teil und findet nur wenige Tage später einen Umschlag in eurem Briefkasten; darin goldene Eintrittskarten. Die Inschrift lässt verlauten, dass ihr ausgewählt wurdet. Doch wofür?\n\nNeugierig begebt ihr euch zur angegebenen Adresse. Dort werdet ihr von einer zwielichtigen, buckligen Gestalt willkommen geheißen, die von einer „neuartigen Form des Puppenspiels“ spricht und euch dabei durch dunkle Gänge tief in das Gebäude hineingeleitet. Zuletzt teilt die Gestalt euch mit, dass die Vorstellung in einer Stunde beginne und ihr es euch doch schon mal gemütlich machen sollt, während sie euch eng an eng in einen düsteren Raum drängt und die Tür hinter euch ins Schloss fallen lasst. Schnell dämmert es euch, dass hier etwas nicht mit rechten Dingen zugeht und ihr fragt euch, ob ihr hier wohl mehr als nur Zuschauer sein sollt…",2,6,60,https://final-escape.com/berlin/live-escape-game-the-puppeteer/#fe-buchen,https://final-escape.com/berlin/live-escape-game-the-puppeteer/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2019/09/02ThePuppeteer1.jpg,Fantasy,mittel,false,
0,gemini-1.5-flash-001,37.313083875s,1m1.641440041s,7,984715,387533,https://final-escape.com/berlin/,Final Escape Berlin,Robot Paranoia,"Die Menschheit hat es mit der künstlichen Intelligenz zu weit getrieben und befindet sich nun im Krieg gegen die Maschinen. Aufgrund ihrer intellektuellen wie physischen Überlegenheit haben es die Roboter bereits geschafft, zahlreiche Menschen einzusperren und zu unterdrücken.\n\nDoch noch gibt es Hoffnung für die Spezies Mensch: Im Untergrund der Großstadt hat sich eine Bewegung von Widerstandskämpfern geformt, die den Gehorsam vor den Maschinen verweigern und für Freiheit und Menschenrechte kämpfen. Auch ihr habt euch den Rebellen angeschlossen. Ihr könnt es spüren: Die Revolution ist zum Greifen nah!\n\nDoch dann kommt alles anders als geplant: Es scheint, als hätten die Roboter von eurem kleinen Unterschlupf im Ostteil der Stadt Wind bekommen und sind in dieser Sekunde schon auf dem Weg, um das Areal zu räumen. Ihr müsst so schnell es geht zum Stützpunkt im Stadtzentrum gelangen, um euch dort in Sicherheit zu bringen. In Kleingruppen werdet ihr vom Schleuser aus dem Versteck nach draußen geführt, doch ab hier seid ihr auf euch allein gestellt. Zu allem Übel sind es nur noch 60 Minuten bis zur Sperrstunde, wenn alle Zugänge zu Gebäuden und Straßen verriegelt werden und Menschen sich nicht mehr auf offener Straße bewegen dürfen.",2,6,60,https://final-escape.com/berlin/live-escape-game-robot-paranoia/#fe-buchen,https://final-escape.com/berlin/live-escape-game-robot-paranoia/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2019/09/02RobotParanoia.jpg,Science Fiction,schwer,false,
0,gemini-1.5-flash-001,37.313083875s,1m1.641440125s,7,984715,387533,https://final-escape.com/berlin/,Final Escape Berlin,Last Human,"Wir schreiben das Jahr 2067. Die Menschheit hat es geschafft sich selbst zu Grunde zu richten, alles wovor die Wissenschaft jahrelang gewarnt hat ist eingetreten. Das Wetter wurde immer extremer, die Ressourcen knapper und schließlich ist von der Erde wie wir sie kennen nicht mehr viel übrig geblieben. Ihr habt zwar die Naturkatastrophen und Hungersnöte überlebt, führt aber ein ziemlich trostloses Leben. Seit Wochen streift ihr durch das Ödland in der Hoffnung doch noch einer lebenden Seele zu begegnen. Wie viele Menschen die zahlreichen Katastrophen überhaupt überlebt haben, weiß niemand so genau, ihr wollt die Hoffnung auf weitere Überlebende aber noch nicht aufgeben. Gerade als ihr euch fragt, ob ihr an genau dieser Stelle nicht schon vor einigen Stunden vorbei gekommen seid, entdeckt ihr etwas hinter einem der staubigen Schuttberge, die hier aufgetürmt wurden. Ihr haltet es zunächst nur für eine Einbildung, aber als ihr näher tretet seid ihr euch sicher: Das ist eine Tür! Ihr drückt die staubige Klinke herunter und tretet ein…\n\nEhemals *Trabi Race 2030* Wir empfehlen **nicht** das Spiel noch einmal zu spielen, wenn die *Trabi Race 2030* Mission schon bestritten wurde.",2,5,60,https://final-escape.com/berlin/live-escape-game-last-human/#fe-buchen,https://final-escape.com/berlin/live-escape-game-last-human/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2019/09/02TrabiRace2030.jpg,Science Fiction,schwer,false,
0,gemini-1.5-flash-001,37.313083875s,1m1.641444041s,7,984715,387533,https://final-escape.com/berlin/,Final Escape Berlin,Das Geisterschiff,"Ihr wurdet wegen Meuterei aus eurer Piratencrew geworfen. Nun seid ihr auf der Suche nach einer neuen — doch ihr seid Piraten mit Ansprüchen. Ihr wollt gerne auf dem beliebtesten Schiff der Weltmeere anheuern. Auf eure Bewerbung hin erhaltet ihr eine Flaschenpost mit einer skurrilen Botschaft. Ihr wurdet vom Kapitän zu einer Aufnahmeprüfung eingeladen, denn er möchte erst sehen, ob ihr aus dem richtigen Holz geschnitzt seid.\n\nVoller Eifer begebt ihr euch zur vereinbarten Zeit in eine abgelegene Bucht, wo ihr bereits erwartet werdet. Bald erfahrt ihr, dass es sich bei eurer Aufgabe um eine regelrechte Mutprobe handelt: im dichten Nebel betretet ihr ein altes Schiffswrack. Gerüchten zufolge sollen die Geister der alten Crew dieses noch immer bewohnen und den einen oder anderen Gegenstand mit einem Fluch belegt haben. Es soll jedoch einen Schatz geben, der nicht verflucht ist und eure Aufgabe wird es sein, eurem neuen Kapitän diesen zu besorgen. Momentan ist die Crew an Land gegangen, um ihre Rumvorräte wieder aufzustocken. Sie wird jedoch bereits in einer Stunde zurück sein und dann solltet ihr hier nichts mehr verloren haben, wenn euch euer Leben lieb ist.",2,6,60,https://final-escape.com/berlin/live-escape-game-ghost-ship/,https://final-escape.com/berlin/live-escape-game-ghost-ship/,https://final-escape.com/berlin/wp-content/uploads/sites/6/2019/09/02DasGeisterschiff-1.jpg,Adventure,mittel-schwer,false,
1,gemini-1.5-flash-001,13.371436917s,26.363690958s,4,2112887,120586,https://www.60-minutes.de/,60 MINUTES,Die Expedition,"Auf den Spuren des Prof. Jones\n\nDie Welt steht kurz vor einer apokalyptischen Sonnenfinsternis. Ihr seid ein Forscherteam und auf den Spuren des verschollenen ProfessorsI. Jones durch den Dschungel von Mexiko gereist um das geheime Maya-Relikt zu finden, das einzige das die ewige Dunkelheit noch verhindern kann.\n\nIhr habt noch 60 Minuten Zeit bevor die Welt ins Chaos stürzt.",2,6,60,https://www.60-minutes.de/buchung,https://www.60-minutes.de/expedition,"https://static.wixstatic.com/media/dda0bb_b164969a0335410eab85d2fdb9dc3148~mv2.jpg/v1/fill/w_1920,h_262,al_c,q_85,enc_auto/BALKEN-MAYA.jpg",Adventure,mittel,false,
1,gemini-1.5-flash-001,13.371436917s,26.36370225s,4,2112887,120586,https://www.60-minutes.de/,60 MINUTES,Lagerhaus 57,"Ein magisches Abenteuer!\n\nIhr seid Special-Agents und sollt im\nLagerhaus 57, ein geheimes Lager der Regierung,\nin dem besondere Artefakte gelagert werden,\ndem Saboteur das Handwerk legen und die brisanten Gegenstände retten.\nBis der Selbstzerstörungsmechanismus\naktiviert wird, habt Ihr genau 60 Minuten Zeit…",3,7,60,https://www.60-minutes.de/buchung,https://www.60-minutes.de/lagerhaus-57,"https://static.wixstatic.com/media/dda0bb_5ef8c60b8c2f4588b9c56545ec33c354~mv2.jpg/v1/fill/w_1920,h_262,al_c,q_85,enc_auto/BALKEN-LAGER.jpg",Crime,mittel,false,
1,gemini-1.5-flash-001,13.371436917s,26.363702292s,4,2112887,120586,https://www.60-minutes.de/,60 MINUTES,Geisterstunde,"Lust auf Geisterjagd?\n\nIhr betretet pünktlich zur Geisterstunde das Anwesen von Ende(n)ich.\nSeltsame Stimmen sind zu hören undmerkwürdige Dinge geschehen...\nH\nabt Ihr den Mut\ndem Spuk, der dort umgeht,ein Ende zu bereiten?\nSchafft Ihr es die Geister zu vertreiben, oder werden sie Euch das Fürchten lehren…",2,6,60,https://www.60-minutes.de/buchung,https://www.60-minutes.de/geisterstunde,"https://static.wixstatic.com/media/dda0bb_80ac2b5ddf624e2ea1e76bea8be96391~mv2.jpg/v1/fill/w_1920,h_262,al_c,q_85,enc_auto/BALKEN-GEISTER.jpg",Horror,mittel,false,
2,gemini-1.5-flash-001,8.796046874s,18.984603709s,4,707707,89858,https://www.4walls-escape.com/,4Walls Escape,The Heist,"An inexplicable discovery in Italy: the missing painting \""Portrait of a Woman\"" turned up again, not far from the gallery where it was once exhibited! Reveal as a team of investigators the most spectacular art theft in criminal history!",2,6,120,https://www.4walls-escape.com/the-heist,https://www.4walls-escape.com/the-heist,https://www.4walls-escape.com/img/game-11/teaser.jpg.jpg,Crime,4/5,false,
